original (cond)	sample (pos)	generated (neg)	BLEU	METEOR
how do i improve my writing skills ?	how can i improve my writing skills to write advanced composition ?	how do i improve my writing skills ?	0.9999999997410718	1.0
what are the best books for c++ ?	what are some books to learn c++ ?	what is the best books for c++ ?	0.7905694148373941	0.96
what is the best new movie to watch ?	what is the best new movie ?	what is the best new movie of time ?	0.6972166886186177	0.5188278252886968
what are the safety precautions on handling shotguns proposed by the nra in california ?	what are the safety precautions on handling shotguns proposed by the nra in kansas ?	what are the safety precautions on handling shotguns proposed by the nra in india ? in the nra to	0.7008766440125496	0.5160290886606187
does smoking weed cause cancer ?	how can smoking marijuana give you lung cancer ?	does smoking weed cause weed cancer ?	0.7559289459014655	0.504175137209835
how do i lose weight ?	how do i lose 30 pounds ?	how do i lose lose weight ?	0.8451542544769828	0.5022125177310769
how can i get a hacker ?	how do i get in touch with hackers ?	how can i get into hacker ?	0.7559289457934757	0.47848159656356454
can i make money online ?	how do you make easy money online ?	what can i make money online bhk online ?	0.6454972242916984	0.47664833374148197
how can i improve in english ?	how can improve my english speaking ?	how do i improve my english speaking ?	0.7905694149362151	0.47628347206877775
what are the best ways to improve english ?	how can i understand english ?	what is the best way to improve my english ?	0.48304589148865984	0.465084374671924
how do i to start a new business ?	how can i start my business ?	how can i start my business overlay you start about redmi rs . inr	0.4059989714404598	0.4632394417275632
how could i increase my height ?	how do i increase my height after 16 ?	how can some 16 without skinny ? should i increase my height ?	0.42365927283421473	0.4550569623398681
what are the safety precautions on handling shotguns proposed by the nra in north carolina ?	what are the safety precautions on handling shotguns proposed by the nra in vermont ?	what are the safety precautions proposed by the nra precautions on handling shotguns proposed	0.792921578975471	0.448948223709267
what was the universe before big bang ?	what happened before the big bang ?	what was the universe exist before the universe after exist next big bang ?	0.5135525909750024	0.4480658131667026
what is an easy way make money online ?	what are the best ways to make money online ?	what are some ways to make money online ?	0.8164965807406125	0.4462690782992373
how can i prepare for cat 2017 ?	what should be strategy for cat 2017 ?	how can i prepare for 2017 ?	0.791347633590941	0.4455761913762616
what is the best way to do sex ?	how can i have sex ?	what is the best way to sex in sex ?	0.7302967432631348	0.44513063677296366
what 's your new year resolution for 2017 ?	what is your new year resolution for 2017 or goal for 2017 ?	which is your new year resolution for 2017 that your resolution for 2017 ?	0.6629935440826179	0.44498275103214935
what is computer science about ?	what is computer science ?	what are computer computer computer science ?	0.43643578040444125	0.4448605116078899
what is the best laptop within 60k available in india ?	which is the best laptop under inr 60k ?	what is the best laptop for the inr 60k ?	0.7302967432631348	0.43969933457361193
how can i earn from online ?	how can i earn money part time online ?	how can i earn earn money online online ?	0.6972166886186177	0.43804653206523514
`` how do i get rid of acne and acne… ?	how can i get rid of pimples all over my face ?	how can i get rid of acne and acne ?	0.7570412980273764	0.43788517801384824
which is the best quickbooks error support number ?	which is the best quickbooks proadvisor tech support number ?	what is the best quickbooks customer support number ?	0.6972166886186177	0.4362280240375045
how can i make money online for job ?	what is the easy way to make money online ?	how can i make money online ?	0.7514772928516321	0.43449266989344915
how can i earn money part time online ?	what are the easiest ways to earn money online ?	how can i earn money online ?	0.7514772928516321	0.43449266989344915
what is the quickbooks support phone number ?	what is the quickbooks support phone number in los angeles ?	what is the quickbooks customer support number quickbooks customer support number phone number ?	0.46880723090372134	0.4336893699634929
can i earn money online ?	how do we make money online ?	what are i earn money online with google ?	0.45643546453375383	0.4317763789135402
why is saltwater taffy candy imported in china ?	why is saltwater taffy candy imported in germany ?	why is saltwater taffy candy imported in south taffy candy imported in south with south	0.44721359546907896	0.43112686680833734
how do i get rid of acne on my face ? i workout daily and wash my face twice a day .	`` how do i get rid of acne and acne… ?	how do i get rid of acne acne ?	0.653799351552692	0.43110718106222146
how do i change my profile photo in here on quora ?	how can i upload profile picture on quora ?	how can i upload on quora mail on quora picture in quora profile ?	0.4688072309037214	0.4292677621352505
what is the best way to become a billionaire ?	how can i become a billionaire ?	what is the best way to become average ?	0.7306332424911985	0.42767453337010247
how do i improve professional email writing skills ?	how do i improve my email writing skills ?	how can i improve my writing skills ?	0.6240195440321152	0.42753048044964315
how can i slowly lose weight ?	how do i lose 20-30 kg ?	how can i lose weight ?	0.8464817245943457	0.42750933026297866
how can i lose weight effectively ?	how can i lose weight slowly and naturally ?	how can i lose weight ?	0.757116271161685	0.42750933026297866
what is your resolution for 2017 ?	what can be my new year resolution for 2017 ?	what is your new year resolution your 2017 ?	0.6669738469592859	0.4214732311961696
