2018-08-21 17:06:16,616 : INFO : [G_MLE] epoch = 1, average_train_NLL = 31.3810
2018-08-21 17:09:54,456 : INFO : [G_MLE] epoch = 2, average_train_NLL = 24.8400
2018-08-21 17:13:32,286 : INFO : [G_MLE] epoch = 3, average_train_NLL = 22.7057
2018-08-21 17:17:11,833 : INFO : [G_MLE] epoch = 4, average_train_NLL = 24.0281
2018-08-21 17:20:50,694 : INFO : [G_MLE] epoch = 5, average_train_NLL = 23.0810
2018-08-21 17:24:30,335 : INFO : [G_MLE] epoch = 6, average_train_NLL = 24.4541
2018-08-21 17:28:20,113 : INFO : [G_MLE] epoch = 7, average_train_NLL = 24.6656
2018-08-21 17:32:37,332 : INFO : [G_MLE] epoch = 8, average_train_NLL = 25.6060
2018-08-21 17:36:39,990 : INFO : [G_MLE] epoch = 9, average_train_NLL = 25.3419
2018-08-21 17:40:57,627 : INFO : [G_MLE] epoch = 10, average_train_NLL = 26.4052
2018-08-21 17:45:03,543 : INFO : [G_MLE] epoch = 11, average_train_NLL = 26.7185
2018-08-21 17:49:23,932 : INFO : [G_MLE] epoch = 12, average_train_NLL = 27.4328
2018-08-21 17:53:44,953 : INFO : [G_MLE] epoch = 13, average_train_NLL = 27.4809
2018-08-21 17:57:32,538 : INFO : [G_MLE] epoch = 14, average_train_NLL = 28.3295
2018-08-21 18:01:17,189 : INFO : [G_MLE] epoch = 15, average_train_NLL = 28.4499
2018-08-21 18:05:03,171 : INFO : [G_MLE] epoch = 16, average_train_NLL = 30.5278
2018-08-21 18:08:50,400 : INFO : [G_MLE] epoch = 17, average_train_NLL = 29.5915
2018-08-21 18:12:21,093 : INFO : [G_MLE] epoch = 18, average_train_NLL = 30.2635
2018-08-21 18:16:08,466 : INFO : [G_MLE] epoch = 19, average_train_NLL = 29.9821
2018-08-21 18:19:46,889 : INFO : [G_MLE] epoch = 20, average_train_NLL = 32.7379
2018-08-21 18:25:22,474 : INFO : [D] iter = -1, step = 0, epoch = 1, average_loss = 0.6919, train_acc = 0.5221, val_acc = 0.5352
2018-08-21 18:27:10,610 : INFO : [D] iter = -1, step = 0, epoch = 2, average_loss = 0.6862, train_acc = 0.5491, val_acc = 0.5484
2018-08-21 18:28:54,893 : INFO : [D] iter = -1, step = 0, epoch = 3, average_loss = 0.6791, train_acc = 0.5666, val_acc = 0.5424
2018-08-21 18:30:42,646 : INFO : [D] iter = -1, step = 0, epoch = 4, average_loss = 0.6657, train_acc = 0.5931, val_acc = 0.5391
2018-08-21 18:32:28,024 : INFO : [D] iter = -1, step = 0, epoch = 5, average_loss = 0.6460, train_acc = 0.6223, val_acc = 0.5352
2018-08-21 18:37:26,838 : INFO : [D] iter = -1, step = 1, epoch = 1, average_loss = 0.6935, train_acc = 0.5347, val_acc = 0.5481
2018-08-21 18:39:13,840 : INFO : [D] iter = -1, step = 1, epoch = 2, average_loss = 0.6866, train_acc = 0.5472, val_acc = 0.5494
2018-08-21 18:41:01,338 : INFO : [D] iter = -1, step = 1, epoch = 3, average_loss = 0.6849, train_acc = 0.5530, val_acc = 0.5468
2018-08-21 18:42:51,298 : INFO : [D] iter = -1, step = 1, epoch = 4, average_loss = 0.6824, train_acc = 0.5597, val_acc = 0.5423
2018-08-21 18:44:40,330 : INFO : [D] iter = -1, step = 1, epoch = 5, average_loss = 0.6791, train_acc = 0.5708, val_acc = 0.5404
2018-08-21 18:49:39,370 : INFO : [D] iter = -1, step = 2, epoch = 1, average_loss = 0.6890, train_acc = 0.5427, val_acc = 0.5448
2018-08-21 18:51:25,526 : INFO : [D] iter = -1, step = 2, epoch = 2, average_loss = 0.6858, train_acc = 0.5507, val_acc = 0.5451
2018-08-21 18:53:16,410 : INFO : [D] iter = -1, step = 2, epoch = 3, average_loss = 0.6847, train_acc = 0.5537, val_acc = 0.5447
2018-08-21 18:55:01,098 : INFO : [D] iter = -1, step = 2, epoch = 4, average_loss = 0.6834, train_acc = 0.5573, val_acc = 0.5414
2018-08-21 18:56:41,979 : INFO : [D] iter = -1, step = 2, epoch = 5, average_loss = 0.6819, train_acc = 0.5609, val_acc = 0.5401
2018-08-21 19:01:25,509 : INFO : [D] iter = -1, step = 3, epoch = 1, average_loss = 0.6887, train_acc = 0.5403, val_acc = 0.5467
2018-08-21 19:03:02,955 : INFO : [D] iter = -1, step = 3, epoch = 2, average_loss = 0.6868, train_acc = 0.5487, val_acc = 0.5493
2018-08-21 19:04:52,098 : INFO : [D] iter = -1, step = 3, epoch = 3, average_loss = 0.6858, train_acc = 0.5497, val_acc = 0.5512
2018-08-21 19:06:33,905 : INFO : [D] iter = -1, step = 3, epoch = 4, average_loss = 0.6848, train_acc = 0.5524, val_acc = 0.5497
2018-08-21 19:08:16,717 : INFO : [D] iter = -1, step = 3, epoch = 5, average_loss = 0.6837, train_acc = 0.5553, val_acc = 0.5491
2018-08-21 19:13:07,297 : INFO : [D] iter = -1, step = 4, epoch = 1, average_loss = 0.6878, train_acc = 0.5432, val_acc = 0.5459
2018-08-21 19:14:52,011 : INFO : [D] iter = -1, step = 4, epoch = 2, average_loss = 0.6862, train_acc = 0.5469, val_acc = 0.5476
2018-08-21 19:16:42,021 : INFO : [D] iter = -1, step = 4, epoch = 3, average_loss = 0.6853, train_acc = 0.5505, val_acc = 0.5472
2018-08-21 19:18:33,013 : INFO : [D] iter = -1, step = 4, epoch = 4, average_loss = 0.6847, train_acc = 0.5530, val_acc = 0.5465
2018-08-21 19:20:19,434 : INFO : [D] iter = -1, step = 4, epoch = 5, average_loss = 0.6836, train_acc = 0.5574, val_acc = 0.5445
2018-08-21 19:25:26,913 : INFO : [D] iter = -1, step = 5, epoch = 1, average_loss = 0.6874, train_acc = 0.5451, val_acc = 0.5487
2018-08-21 19:27:12,436 : INFO : [D] iter = -1, step = 5, epoch = 2, average_loss = 0.6860, train_acc = 0.5515, val_acc = 0.5480
2018-08-21 19:29:06,636 : INFO : [D] iter = -1, step = 5, epoch = 3, average_loss = 0.6849, train_acc = 0.5542, val_acc = 0.5475
2018-08-21 19:30:52,561 : INFO : [D] iter = -1, step = 5, epoch = 4, average_loss = 0.6843, train_acc = 0.5552, val_acc = 0.5488
2018-08-21 19:32:42,181 : INFO : [D] iter = -1, step = 5, epoch = 5, average_loss = 0.6830, train_acc = 0.5600, val_acc = 0.5483
2018-08-21 19:37:43,476 : INFO : [D] iter = -1, step = 6, epoch = 1, average_loss = 0.6878, train_acc = 0.5460, val_acc = 0.5492
2018-08-21 19:39:25,448 : INFO : [D] iter = -1, step = 6, epoch = 2, average_loss = 0.6865, train_acc = 0.5484, val_acc = 0.5487
